EXPLAIN
TAG	LSV
TITLE	LABEL	Linear Sweep Voltammetry	Test &Identifier
DATE	LABEL	1/12/2021	Date
TIME	LABEL	10:44:03	Time
NOTES	NOTES	1	&Notes...
	Ni foam_anode_Pt_cathode in 1M KOH
PSTAT	PSTAT	My Pstat	Potentiostat
VINIT	POTEN	7.00000E-001	F	&Initial E (V)
VFINAL	POTEN	1.50000E+000	F	&Final E (V)
SCANRATE	QUANT	9.99998E-001	&Scan Rate (mV/s)
STEPSIZE	QUANT	1.00000E+000	St&ep Size (mV)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	2.00000E+003	&Max Current (mA)
AREA	QUANT	1.69000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	0	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	5.00000E+000	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	5.00000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	5	Pstat Model
PSTATSECTION	LABEL	REF3000-14115	Pstat Section
PSTATSERIALNO	LABEL	14115	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	T	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	2	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	12	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	2/23/2015	DC Calibration Date
ACCALDATE	LABEL		AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.21	Framework Version
INSTRUMENTVERSION	LABEL	3.20	Instrument Version
COMPLIANCEVOLTAGE	IQUANT	0	Compliance Voltage
CURVE	TABLE	801
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Cycle
	30	31	7.29355E-001	4.30035E-003	0.00000E+000	7.30000E-001	5.43559E-004	12	...........	0
	31	32	7.30154E-001	4.35222E-003	0.00000E+000	7.31000E-001	4.71685E-004	12	...........	0
	32	33	7.31170E-001	4.48085E-003	0.00000E+000	7.32000E-001	5.39159E-004	12	...........	0
	33	34	7.32285E-001	4.54177E-003	0.00000E+000	7.33000E-001	5.51051E-004	12	...........	0
	34	35	7.33223E-001	4.70892E-003	0.00000E+000	7.34000E-001	4.71019E-004	12	...........	0
	35	36	7.34106E-001	4.79331E-003	0.00000E+000	7.35000E-001	5.74126E-004	12	...........	0
	36	37	7.35209E-001	4.82135E-003	0.00000E+000	7.36000E-001	5.00952E-004	12	...........	0
	37	38	7.36279E-001	4.86691E-003	0.00000E+000	7.37000E-001	4.64819E-004	12	...........	0
	38	39	7.37216E-001	4.90456E-003	0.00000E+000	7.38000E-001	5.59859E-004	12	...........	0
	39	40	7.38103E-001	4.98928E-003	0.00000E+000	7.39000E-001	4.55327E-004	12	...........	0
	40	41	7.39206E-001	5.00357E-003	0.00000E+000	7.40000E-001	5.29968E-004	12	...........	0
	41	42	7.40279E-001	5.03408E-003	0.00000E+000	7.41000E-001	5.46859E-004	12	...........	0
	42	43	7.41255E-001	5.21924E-003	0.00000E+000	7.42000E-001	4.58844E-004	12	...........	0
	43	44	7.42117E-001	5.16465E-003	0.00000E+000	7.43000E-001	5.54276E-004	12	...........	0
	44	45	7.43265E-001	5.51763E-003	0.00000E+000	7.44000E-001	5.02768E-004	12	...........	0
	45	46	7.44292E-001	5.56907E-003	0.00000E+000	7.45000E-001	4.72652E-004	12	...........	0
	46	47	7.45266E-001	5.56952E-003	0.00000E+000	7.46000E-001	5.45668E-004	12	...........	0
	47	48	7.46216E-001	5.57716E-003	0.00000E+000	7.47000E-001	4.76194E-004	12	...........	0
	48	49	7.47312E-001	5.58112E-003	0.00000E+000	7.48000E-001	5.35410E-004	12	...........	0
	49	50	7.48298E-001	5.60275E-003	0.00000E+000	7.49000E-001	5.53901E-004	12	...........	0
	50	51	7.49278E-001	5.59544E-003	0.00000E+000	7.50000E-001	4.70794E-004	12	...........	0
	51	52	7.50284E-001	5.62821E-003	0.00000E+000	7.51000E-001	5.71492E-004	12	...........	0
	52	53	7.51307E-001	5.69273E-003	0.00000E+000	7.52000E-001	5.03885E-004	12	...........	0
	53	54	7.52294E-001	5.71202E-003	0.00000E+000	7.53000E-001	4.85977E-004	12	...........	0
	54	55	7.53328E-001	5.82899E-003	0.00000E+000	7.54000E-001	5.74959E-004	12	...........	0
	55	56	7.54289E-001	5.86268E-003	0.00000E+000	7.55000E-001	4.83460E-004	12	...........	0
	56	57	7.55304E-001	5.86635E-003	0.00000E+000	7.56000E-001	4.89660E-004	12	...........	0
	57	58	7.56310E-001	5.86987E-003	0.00000E+000	7.57000E-001	4.89535E-004	12	...........	0
	58	59	7.57156E-001	5.84670E-003	0.00000E+000	7.58000E-001	4.97452E-004	12	...........	0
	59	60	7.58120E-001	5.87639E-003	0.00000E+000	7.59000E-001	5.75401E-004	12	...........	0
	60	61	7.59159E-001	5.87915E-003	0.00000E+000	7.60000E-001	4.83860E-004	12	...........	0
	61	62	7.60265E-001	5.90629E-003	0.00000E+000	7.61000E-001	4.83002E-004	12	...........	0
	62	63	7.61172E-001	5.91337E-003	0.00000E+000	7.62000E-001	5.46493E-004	12	...........	0
	63	64	7.62104E-001	6.08173E-003	0.00000E+000	7.63000E-001	4.63461E-004	12	...........	0
	64	65	7.63170E-001	6.26817E-003	0.00000E+000	7.64000E-001	5.58293E-004	12	...........	0
	65	66	7.64263E-001	6.26092E-003	0.00000E+000	7.65000E-001	5.48218E-004	12	...........	0
	66	67	7.65221E-001	6.39203E-003	0.00000E+000	7.66000E-001	4.64744E-004	12	...........	0
	67	68	7.66117E-001	6.44931E-003	0.00000E+000	7.67000E-001	5.68784E-004	12	...........	0
	68	69	7.67189E-001	6.52644E-003	0.00000E+000	7.68000E-001	4.81535E-004	12	...........	0
	69	70	7.68272E-001	6.58828E-003	0.00000E+000	7.69000E-001	4.78835E-004	12	...........	0
	70	71	7.69235E-001	6.59791E-003	0.00000E+000	7.70000E-001	5.64109E-004	12	...........	0
	71	72	7.70175E-001	6.93793E-003	0.00000E+000	7.71000E-001	4.66111E-004	12	...........	0
	72	73	7.71265E-001	6.81152E-003	0.00000E+000	7.72000E-001	5.38518E-004	12	...........	0
	73	74	7.72287E-001	6.98208E-003	0.00000E+000	7.73000E-001	5.22085E-004	12	...........	0
	74	75	7.73257E-001	7.14903E-003	0.00000E+000	7.74000E-001	4.61027E-004	12	...........	0
	75	76	7.74258E-001	7.09748E-003	0.00000E+000	7.75000E-001	5.49243E-004	12	...........	0
	76	77	7.75277E-001	7.17835E-003	0.00000E+000	7.76000E-001	4.68211E-004	12	...........	0
	77	78	7.76276E-001	7.17999E-003	0.00000E+000	7.77000E-001	4.75085E-004	12	...........	0
	78	79	7.77298E-001	7.20243E-003	0.00000E+000	7.78000E-001	5.46868E-004	12	...........	0
	79	80	7.78271E-001	7.19289E-003	0.00000E+000	7.79000E-001	4.73077E-004	12	...........	0
	80	81	7.79277E-001	7.24113E-003	0.00000E+000	7.80000E-001	5.36868E-004	12	...........	0
	81	82	7.80285E-001	7.30627E-003	0.00000E+000	7.81000E-001	4.81952E-004	12	...........	0
	82	83	7.81134E-001	7.24492E-003	0.00000E+000	7.82000E-001	4.69269E-004	12	...........	0
	83	84	7.82102E-001	7.29202E-003	0.00000E+000	7.83000E-001	5.63976E-004	12	...........	0
	84	85	7.83109E-001	7.34956E-003	0.00000E+000	7.84000E-001	4.71627E-004	12	...........	0
	85	86	7.84248E-001	7.36126E-003	0.00000E+000	7.85000E-001	4.86285E-004	12	...........	0
	86	87	7.85146E-001	7.42941E-003	0.00000E+000	7.86000E-001	5.49718E-004	12	...........	0
	87	88	7.86099E-001	7.39097E-003	0.00000E+000	7.87000E-001	4.66611E-004	12	...........	0
	88	89	7.87105E-001	7.47070E-003	0.00000E+000	7.88000E-001	5.42676E-004	12	...........	0
	89	90	7.88253E-001	7.47993E-003	0.00000E+000	7.89000E-001	5.27318E-004	12	...........	0
	90	91	7.89194E-001	7.45219E-003	0.00000E+000	7.90000E-001	4.63644E-004	12	...........	0
	91	92	7.90105E-001	7.47929E-003	0.00000E+000	7.91000E-001	5.60626E-004	12	...........	0
	92	93	7.91143E-001	7.50533E-003	0.00000E+000	7.92000E-001	4.69327E-004	12	...........	0
	93	94	7.92239E-001	7.59601E-003	0.00000E+000	7.93000E-001	4.76110E-004	12	...........	0
	94	95	7.93174E-001	7.62577E-003	0.00000E+000	7.94000E-001	5.41693E-004	12	...........	0
	95	96	7.94128E-001	7.91373E-003	0.00000E+000	7.95000E-001	4.59919E-004	12	...........	0
	96	97	7.95222E-001	7.96270E-003	0.00000E+000	7.96000E-001	5.34676E-004	12	...........	0
	97	98	7.96267E-001	7.97900E-003	0.00000E+000	7.97000E-001	5.45134E-004	12	...........	0
	98	99	7.97225E-001	8.09716E-003	0.00000E+000	7.98000E-001	4.54836E-004	12	...........	0
	99	100	7.98213E-001	8.11085E-003	0.00000E+000	7.99000E-001	5.50393E-004	12	...........	0
	100	101	7.99243E-001	8.37785E-003	0.00000E+000	8.00000E-001	4.83227E-004	12	...........	0
	101	102	8.00263E-001	8.60069E-003	0.00000E+000	8.01000E-001	4.81194E-004	12	...........	0
	102	103	8.01243E-001	8.36679E-003	0.00000E+000	8.02000E-001	5.62767E-004	12	...........	0
	103	104	8.02245E-001	8.72680E-003	0.00000E+000	8.03000E-001	4.63977E-004	12	...........	0
	104	105	8.03241E-001	8.65008E-003	0.00000E+000	8.04000E-001	5.56601E-004	12	...........	0
	105	106	8.04268E-001	8.76586E-003	0.00000E+000	8.05000E-001	5.24393E-004	12	...........	0
	106	107	8.05257E-001	8.78593E-003	0.00000E+000	8.06000E-001	4.76327E-004	12	...........	0
	107	108	8.06263E-001	8.81757E-003	0.00000E+000	8.07000E-001	5.34543E-004	12	...........	0
	108	109	8.07119E-001	8.77107E-003	0.00000E+000	8.08000E-001	4.51227E-004	12	...........	0
	109	110	8.08226E-001	8.78587E-003	0.00000E+000	8.09000E-001	4.89785E-004	12	...........	0
	110	111	8.09159E-001	8.81461E-003	0.00000E+000	8.10000E-001	5.05527E-004	12	...........	0
	111	112	8.10091E-001	8.80070E-003	0.00000E+000	8.11000E-001	4.73694E-004	12	...........	0
	112	113	8.11046E-001	8.84542E-003	0.00000E+000	8.12000E-001	5.47759E-004	12	...........	0
	113	114	8.12233E-001	8.90561E-003	0.00000E+000	8.13000E-001	5.16418E-004	12	...........	0
	114	115	8.13163E-001	8.94182E-003	0.00000E+000	8.14000E-001	4.58636E-004	12	...........	0
	115	116	8.14096E-001	8.97155E-003	0.00000E+000	8.15000E-001	5.60576E-004	12	...........	0
	116	117	8.15070E-001	9.04674E-003	0.00000E+000	8.16000E-001	4.65377E-004	12	...........	0
	117	118	8.16216E-001	9.05177E-003	0.00000E+000	8.17000E-001	4.89644E-004	12	...........	0
	118	119	8.17148E-001	9.08436E-003	0.00000E+000	8.18000E-001	5.32868E-004	12	...........	0
	119	120	8.18096E-001	9.03252E-003	0.00000E+000	8.19000E-001	4.68786E-004	12	...........	0
	120	121	8.19051E-001	9.08076E-003	0.00000E+000	8.20000E-001	5.56509E-004	12	...........	0
	121	122	8.20238E-001	9.08758E-003	0.00000E+000	8.21000E-001	5.48309E-004	12	...........	0
	122	123	8.21173E-001	9.18868E-003	0.00000E+000	8.22000E-001	4.82210E-004	12	...........	0
	123	124	8.22163E-001	9.32573E-003	0.00000E+000	8.23000E-001	5.63534E-004	12	...........	0
	124	125	8.23185E-001	9.34280E-003	0.00000E+000	8.24000E-001	4.76919E-004	12	...........	0
	125	126	8.24240E-001	9.48751E-003	0.00000E+000	8.25000E-001	4.76960E-004	12	...........	0
	126	127	8.25199E-001	9.55332E-003	0.00000E+000	8.26000E-001	5.55609E-004	12	...........	0
	127	128	8.26194E-001	9.75387E-003	0.00000E+000	8.27000E-001	4.77219E-004	12	...........	0
	128	129	8.27203E-001	9.73949E-003	0.00000E+000	8.28000E-001	5.64476E-004	12	...........	0
	129	130	8.28241E-001	9.84939E-003	0.00000E+000	8.29000E-001	5.24335E-004	12	...........	0
	130	131	8.29207E-001	1.02985E-002	0.00000E+000	8.30000E-001	4.86994E-004	12	...........	0
	131	132	8.30242E-001	1.01774E-002	0.00000E+000	8.31000E-001	5.66259E-004	12	...........	0
	132	133	8.31208E-001	1.03679E-002	0.00000E+000	8.32000E-001	4.52094E-004	12	...........	0
	133	134	8.32234E-001	1.03761E-002	0.00000E+000	8.33000E-001	4.71085E-004	12	...........	0
	134	135	8.33112E-001	1.03806E-002	0.00000E+000	8.34000E-001	5.35801E-004	12	...........	0
	135	136	8.34086E-001	1.03887E-002	0.00000E+000	8.35000E-001	4.65336E-004	12	...........	0
	136	137	8.34927E-001	1.03888E-002	0.00000E+000	8.36000E-001	5.53118E-004	12	...........	0
	137	138	8.36186E-001	1.03894E-002	0.00000E+000	8.37000E-001	5.23743E-004	12	...........	0
	138	139	8.37148E-001	1.03915E-002	0.00000E+000	8.38000E-001	4.49586E-004	12	...........	0
	139	140	8.38084E-001	1.04114E-002	0.00000E+000	8.39000E-001	5.52159E-004	12	...........	0
	140	141	8.38949E-001	1.04523E-002	0.00000E+000	8.40000E-001	4.66427E-004	12	...........	0
	141	142	8.40172E-001	1.04683E-002	0.00000E+000	8.41000E-001	4.90344E-004	12	...........	0
	142	143	8.41130E-001	1.05252E-002	0.00000E+000	8.42000E-001	5.47768E-004	12	...........	0
	143	144	8.42092E-001	1.05869E-002	0.00000E+000	8.43000E-001	4.40328E-004	12	...........	0
	144	145	8.42956E-001	1.06063E-002	0.00000E+000	8.44000E-001	5.48793E-004	12	...........	0
	145	146	8.44185E-001	1.06395E-002	0.00000E+000	8.45000E-001	5.15951E-004	12	...........	0
	146	147	8.45164E-001	1.06602E-002	0.00000E+000	8.46000E-001	4.49594E-004	12	...........	0
	147	148	8.46103E-001	1.07861E-002	0.00000E+000	8.47000E-001	5.39643E-004	12	...........	0
	148	149	8.47104E-001	1.08668E-002	0.00000E+000	8.48000E-001	4.56977E-004	12	...........	0
	149	150	8.48220E-001	1.07307E-002	0.00000E+000	8.49000E-001	4.78069E-004	12	...........	0
	150	151	8.49162E-001	1.10105E-002	0.00000E+000	8.50000E-001	5.65192E-004	12	...........	0
	151	152	8.50122E-001	1.11920E-002	0.00000E+000	8.51000E-001	4.52136E-004	12	...........	0
	152	153	8.51163E-001	1.11874E-002	0.00000E+000	8.52000E-001	5.20243E-004	12	...........	0
	153	154	8.52212E-001	1.11648E-002	0.00000E+000	8.53000E-001	5.11860E-004	12	...........	0
	154	155	8.53169E-001	1.14541E-002	0.00000E+000	8.54000E-001	4.67277E-004	12	...........	0
	155	156	8.54196E-001	1.13110E-002	0.00000E+000	8.55000E-001	5.50309E-004	12	...........	0
	156	157	8.55168E-001	1.19000E-002	0.00000E+000	8.56000E-001	4.66411E-004	12	...........	0
	157	158	8.56205E-001	1.19122E-002	0.00000E+000	8.57000E-001	4.95410E-004	12	...........	0
	158	159	8.57255E-001	1.18638E-002	0.00000E+000	8.58000E-001	4.58427E-004	12	...........	0
	159	160	8.58018E-001	1.19924E-002	0.00000E+000	8.59000E-001	4.71144E-004	12	...........	0
	160	161	8.58956E-001	1.19656E-002	0.00000E+000	8.60000E-001	5.49134E-004	12	...........	0
	161	162	8.60142E-001	1.19867E-002	0.00000E+000	8.61000E-001	5.09885E-004	12	...........	0
	162	163	8.61109E-001	1.19930E-002	0.00000E+000	8.62000E-001	4.77127E-004	12	...........	0
	163	164	8.62058E-001	1.19914E-002	0.00000E+000	8.63000E-001	5.72984E-004	12	...........	0
	164	165	8.62924E-001	1.19957E-002	0.00000E+000	8.64000E-001	4.66169E-004	12	...........	0
	165	166	8.64133E-001	1.20107E-002	0.00000E+000	8.65000E-001	5.18610E-004	12	...........	0
	166	167	8.65110E-001	1.20014E-002	0.00000E+000	8.66000E-001	5.42084E-004	12	...........	0
	167	168	8.66084E-001	1.21073E-002	0.00000E+000	8.67000E-001	4.52644E-004	12	...........	0
	168	169	8.66953E-001	1.21304E-002	0.00000E+000	8.68000E-001	5.50218E-004	12	...........	0
	169	170	8.68132E-001	1.21543E-002	0.00000E+000	8.69000E-001	5.05843E-004	12	...........	0
	170	171	8.69119E-001	1.21856E-002	0.00000E+000	8.70000E-001	4.59536E-004	12	...........	0
	171	172	8.70080E-001	1.22190E-002	0.00000E+000	8.71000E-001	5.44159E-004	12	...........	0
	172	173	8.71034E-001	1.22773E-002	0.00000E+000	8.72000E-001	4.56702E-004	12	...........	0
	173	174	8.72193E-001	1.24085E-002	0.00000E+000	8.73000E-001	4.85727E-004	12	...........	0
	174	175	8.73129E-001	1.25470E-002	0.00000E+000	8.74000E-001	5.40518E-004	12	...........	0
	175	176	8.74097E-001	1.27353E-002	0.00000E+000	8.75000E-001	4.43644E-004	12	...........	0
	176	177	8.75112E-001	1.27927E-002	0.00000E+000	8.76000E-001	5.35868E-004	12	...........	0
	177	178	8.76186E-001	1.28209E-002	0.00000E+000	8.77000E-001	5.11127E-004	12	...........	0
	178	179	8.77142E-001	1.29050E-002	0.00000E+000	8.78000E-001	4.49486E-004	12	...........	0
	179	180	8.78155E-001	1.29188E-002	0.00000E+000	8.79000E-001	5.58101E-004	12	...........	0
	180	181	8.79135E-001	1.29558E-002	0.00000E+000	8.80000E-001	4.72960E-004	12	...........	0
	181	182	8.80181E-001	1.30373E-002	0.00000E+000	8.81000E-001	4.99918E-004	12	...........	0
	182	183	8.81165E-001	1.30940E-002	0.00000E+000	8.82000E-001	5.25118E-004	12	...........	0
	183	184	8.82176E-001	1.31587E-002	0.00000E+000	8.83000E-001	4.81227E-004	12	...........	0
	184	185	8.83138E-001	1.32091E-002	0.00000E+000	8.84000E-001	5.15143E-004	12	...........	0
	185	186	8.84073E-001	1.33226E-002	0.00000E+000	8.85000E-001	4.90169E-004	12	...........	0
	186	187	8.85089E-001	1.34270E-002	0.00000E+000	8.86000E-001	5.01702E-004	12	...........	0
	187	188	8.86019E-001	1.34450E-002	0.00000E+000	8.87000E-001	5.49801E-004	12	...........	0
	188	189	8.86928E-001	1.35543E-002	0.00000E+000	8.88000E-001	4.74269E-004	12	...........	0
	189	190	8.88049E-001	1.35744E-002	0.00000E+000	8.89000E-001	5.29535E-004	12	...........	0
	190	191	8.89089E-001	1.36017E-002	0.00000E+000	8.90000E-001	5.49226E-004	12	...........	0
	191	192	8.90065E-001	1.36999E-002	0.00000E+000	8.91000E-001	4.74977E-004	12	...........	0
	192	193	8.90935E-001	1.37377E-002	0.00000E+000	8.92000E-001	5.83067E-004	12	...........	0
	193	194	8.92098E-001	1.37807E-002	0.00000E+000	8.93000E-001	5.05452E-004	12	...........	0
	194	195	8.93096E-001	1.38385E-002	0.00000E+000	8.94000E-001	4.66294E-004	12	...........	0
	195	196	8.94061E-001	1.38672E-002	0.00000E+000	8.95000E-001	5.68559E-004	12	...........	0
	196	197	8.94931E-001	1.39395E-002	0.00000E+000	8.96000E-001	4.79385E-004	12	...........	0
	197	198	8.96088E-001	1.40038E-002	0.00000E+000	8.97000E-001	5.43259E-004	12	...........	0
	198	199	8.97110E-001	1.40781E-002	0.00000E+000	8.98000E-001	5.71392E-004	12	...........	0
	199	200	8.98082E-001	1.42126E-002	0.00000E+000	8.99000E-001	4.65794E-004	12	...........	0
	200	201	8.99079E-001	1.42298E-002	0.00000E+000	9.00000E-001	5.71634E-004	12	...........	0
	201	202	9.00153E-001	1.43041E-002	0.00000E+000	9.01000E-001	5.38385E-004	12	...........	0
	202	203	9.01117E-001	1.43956E-002	0.00000E+000	9.02000E-001	4.84794E-004	12	...........	0
	203	204	9.02127E-001	1.44263E-002	0.00000E+000	9.03000E-001	5.81367E-004	12	...........	0
	204	205	9.03104E-001	1.44898E-002	0.00000E+000	9.04000E-001	4.93202E-004	12	...........	0
	205	206	9.04153E-001	1.45412E-002	0.00000E+000	9.05000E-001	5.19060E-004	12	...........	0
